time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.019,0.39,0.63,0.61,1.01,-0.51,-0.34,-0.01,-0.31,0.94,0.00
0.052,0.39,0.63,0.61,1.01,-0.51,-0.34,-0.25,-0.05,0.81,0.00
0.053,0.39,0.63,0.61,0.01,-0.23,0.65,-0.25,-0.05,0.81,0.00
0.085,0.25,0.65,0.72,0.01,-0.23,0.65,-0.25,-0.05,0.81,0.00
0.119,0.25,0.65,0.72,0.01,-0.23,0.65,-1.05,0.80,-0.17,0.00
0.12,0.25,0.65,0.72,-1.27,-0.75,2.17,-1.05,0.80,-0.17,0.00
0.152,0.27,0.51,0.93,-1.27,-0.75,2.17,-1.05,0.80,-0.17,0.00
0.19,0.27,0.51,0.93,-1.27,-0.75,2.17,-1.50,0.88,0.05,0.00
0.191,0.27,0.51,0.93,-0.40,-1.26,-0.14,-1.50,0.88,0.05,0.00
0.218,0.20,0.29,0.57,-0.40,-1.26,-0.14,-1.50,0.88,0.05,0.00
0.251,0.20,0.29,0.57,-0.40,-1.26,-0.14,-1.79,0.38,0.91,0.00
0.252,0.20,0.29,0.57,0.68,-3.59,1.35,-1.79,0.38,0.91,0.00
0.284,0.68,0.06,1.75,0.68,-3.59,1.35,-1.79,0.38,0.91,0.00
0.317,0.68,0.06,1.75,0.68,-3.59,1.35,-3.29,0.78,2.93,0.00
0.319,0.68,0.06,1.75,-0.34,-2.13,6.42,-3.29,0.78,2.93,0.00
0.35,-0.13,-0.09,1.05,-0.34,-2.13,6.42,-3.29,0.78,2.93,0.00
0.386,-0.13,-0.09,1.05,-0.34,-2.13,6.42,-2.27,2.44,0.43,0.00
0.388,-0.13,-0.09,1.05,-0.52,-2.17,1.09,-2.27,2.44,0.43,0.00
0.416,0.24,0.01,0.63,-0.52,-2.17,1.09,-2.27,2.44,0.43,0.00
0.449,0.24,0.01,0.63,-0.52,-2.17,1.09,-0.19,-1.54,2.82,0.00
0.451,0.24,0.01,0.63,4.96,0.26,-4.79,-0.19,-1.54,2.82,0.00
0.482,0.24,0.31,0.87,4.96,0.26,-4.79,-0.19,-1.54,2.82,0.00
0.515,0.24,0.31,0.87,4.96,0.26,-4.79,1.53,-0.21,-1.45,0.00
0.517,0.24,0.31,0.87,-2.61,3.83,0.05,1.53,-0.21,-1.45,0.00
0.548,0.03,0.62,0.74,-2.61,3.83,0.05,1.53,-0.21,-1.45,0.00
0.587,0.03,0.62,0.74,-2.61,3.83,0.05,3.01,0.01,-4.53,0.00
0.588,0.03,0.62,0.74,-2.18,3.16,-3.21,3.01,0.01,-4.53,0.00
0.614,-0.13,0.92,0.45,-2.18,3.16,-3.21,3.01,0.01,-4.53,0.00
0.647,-0.13,0.92,0.45,-2.18,3.16,-3.21,3.87,-0.32,-4.76,0.00
0.649,-0.13,0.92,0.45,-1.72,2.31,-3.53,3.87,-0.32,-4.76,0.00
0.68,0.02,0.85,0.37,-1.72,2.31,-3.53,3.87,-0.32,-4.76,0.00
0.729,0.02,0.85,0.37,-1.72,2.31,-3.53,3.31,-0.43,-1.65,0.00
0.73,0.02,0.85,0.37,0.06,0.39,-1.82,3.31,-0.43,-1.65,0.00
0.75,0.03,0.70,0.73,0.06,0.39,-1.82,3.31,-0.43,-1.65,0.00
0.791,0.03,0.70,0.73,0.06,0.39,-1.82,-0.65,0.23,-0.02,0.00
0.793,0.03,0.70,0.73,-0.45,-1.57,0.77,-0.65,0.23,-0.02,0.00
0.812,-0.10,0.69,0.46,-0.45,-1.57,0.77,-0.65,0.23,-0.02,0.00
0.845,-0.10,0.69,0.46,-0.45,-1.57,0.77,0.78,0.10,-1.93,0.00
0.846,-0.10,0.69,0.46,-2.88,-1.74,0.08,0.78,0.10,-1.93,0.00
0.878,-0.38,0.78,0.83,-2.88,-1.74,0.08,0.78,0.10,-1.93,0.00
0.911,-0.38,0.78,0.83,-2.88,-1.74,0.08,-1.01,0.22,-2.29,0.00
0.913,-0.38,0.78,0.83,-1.56,0.39,-1.86,-1.01,0.22,-2.29,0.00
0.944,0.17,0.77,0.08,-1.56,0.39,-1.86,-1.01,0.22,-2.29,0.00
0.981,0.17,0.77,0.08,-1.56,0.39,-1.86,1.99,-0.23,2.02,0.00
0.983,0.17,0.77,0.08,4.14,0.87,-0.77,1.99,-0.23,2.02,0.00
1.01,0.68,0.64,0.86,4.14,0.87,-0.77,1.99,-0.23,2.02,0.00
