time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.015,0.30,0.83,0.29,-0.31,-0.05,-2.68,0.59,-0.31,0.07,0.00
0.032,0.30,0.83,0.29,-0.31,-0.05,-2.68,1.15,-0.59,0.25,0.00
0.033,0.30,0.83,0.29,0.46,-1.12,1.51,1.15,-0.59,0.25,0.00
0.082,0.12,0.75,1.07,0.46,-1.12,1.51,1.15,-0.59,0.25,0.00
0.098,0.12,0.75,1.07,0.46,-1.12,1.51,-2.52,1.56,-0.16,0.00
0.1,0.12,0.75,1.07,-1.32,-0.04,3.06,-2.52,1.56,-0.16,0.00
0.148,0.03,0.72,0.67,-1.32,-0.04,3.06,-2.52,1.56,-0.16,0.00
0.176,0.03,0.72,0.67,-1.32,-0.04,3.06,-0.99,0.76,-0.44,0.00
0.178,0.03,0.72,0.67,-1.33,-0.07,-0.00,-0.99,0.76,-0.44,0.00
0.213,0.12,0.65,0.53,-1.33,-0.07,-0.00,-0.99,0.76,-0.44,0.00
0.23,0.12,0.65,0.53,-1.33,-0.07,-0.00,0.11,0.16,-0.57,0.00
0.231,0.12,0.65,0.53,-0.06,-0.89,-1.29,0.11,0.16,-0.57,0.00
0.279,0.09,0.71,0.87,-0.06,-0.89,-1.29,0.11,0.16,-0.57,0.00
0.296,0.09,0.71,0.87,-0.06,-0.89,-1.29,-0.88,0.53,-0.03,0.00
0.297,0.09,0.71,0.87,-0.69,-0.11,2.43,-0.88,0.53,-0.03,0.00
0.346,0.18,0.64,0.69,-0.69,-0.11,2.43,-0.88,0.53,-0.03,0.00
0.366,0.18,0.64,0.69,-0.69,-0.11,2.43,-0.90,0.40,0.33,0.00
0.367,0.18,0.64,0.69,0.79,-0.19,-0.61,-0.90,0.40,0.33,0.00
0.412,-0.05,0.70,0.56,0.79,-0.19,-0.61,-0.90,0.40,0.33,0.00
0.428,-0.05,0.70,0.56,0.79,-0.19,-0.61,0.49,-0.02,-0.80,0.00
0.43,-0.05,0.70,0.56,-1.23,0.22,-1.68,0.49,-0.02,-0.80,0.00
0.477,0.25,0.48,0.87,-1.23,0.22,-1.68,0.49,-0.02,-0.80,0.00
0.494,0.25,0.48,0.87,-1.23,0.22,-1.68,-0.55,-0.02,0.50,0.00
0.495,0.25,0.48,0.87,1.73,-1.87,1.36,-0.55,-0.02,0.50,0.00
0.543,0.58,0.19,1.51,1.73,-1.87,1.36,-0.55,-0.02,0.50,0.00
0.564,0.58,0.19,1.51,1.73,-1.87,1.36,-3.73,-0.03,4.10,0.00
0.566,0.58,0.19,1.51,2.67,-2.91,6.59,-3.73,-0.03,4.10,0.00
0.609,-0.22,0.19,1.28,2.67,-2.91,6.59,-3.73,-0.03,4.10,0.00
0.626,-0.22,0.19,1.28,2.67,-2.91,6.59,-2.32,2.10,-0.71,0.00
0.628,-0.22,0.19,1.28,-3.55,-0.57,3.11,-2.32,2.10,-0.71,0.00
0.675,0.72,0.02,0.32,-3.55,-0.57,3.11,-2.32,2.10,-0.71,0.00
0.692,0.72,0.02,0.32,-3.55,-0.57,3.11,-0.51,-0.94,2.36,0.00
0.694,0.72,0.02,0.32,5.55,-1.77,-6.35,-0.51,-0.94,2.36,0.00
0.741,0.13,0.45,0.93,5.55,-1.77,-6.35,-0.51,-0.94,2.36,0.00
0.761,0.13,0.45,0.93,5.55,-1.77,-6.35,0.91,-0.49,0.14,0.00
0.762,0.13,0.45,0.93,-2.78,2.19,0.96,0.91,-0.49,0.14,0.00
0.807,-0.28,0.78,0.87,-2.78,2.19,0.96,0.91,-0.49,0.14,0.00
0.824,-0.28,0.78,0.87,-2.78,2.19,0.96,2.26,1.15,-4.52,0.00
0.825,-0.28,0.78,0.87,-4.18,4.02,-0.44,2.26,1.15,-4.52,0.00
0.873,0.26,0.65,0.43,-4.18,4.02,-0.44,2.26,1.15,-4.52,0.00
0.89,0.26,0.65,0.43,-4.18,4.02,-0.44,2.68,-0.59,-1.91,0.00
0.892,0.26,0.65,0.43,2.05,0.94,-3.88,2.68,-0.59,-1.91,0.00
0.939,0.05,0.88,0.05,2.05,0.94,-3.88,2.68,-0.59,-1.91,0.00
0.959,0.05,0.88,0.05,2.05,0.94,-3.88,5.05,-1.95,-1.31,0.00
0.961,0.05,0.88,0.05,-0.28,0.83,-3.35,5.05,-1.95,-1.31,0.00
1.006,-0.00,0.90,0.61,-0.28,0.83,-3.35,5.05,-1.95,-1.31,0.00
1.022,-0.00,0.90,0.61,-0.28,0.83,-3.35,0.91,-0.36,-0.92,0.00
1.024,-0.00,0.90,0.61,-0.97,0.38,1.06,0.91,-0.36,-0.92,0.00
1.071,-0.12,0.87,0.65,-0.97,0.38,1.06,0.91,-0.36,-0.92,0.00
1.088,-0.12,0.87,0.65,-0.97,0.38,1.06,-0.44,0.20,-1.22,0.00
1.09,-0.12,0.87,0.65,-1.14,0.18,1.14,-0.44,0.20,-1.22,0.00
1.137,-0.00,0.90,0.30,-1.14,0.18,1.14,-0.44,0.20,-1.22,0.00
1.168,-0.00,0.90,0.30,-1.14,0.18,1.14,0.83,-0.17,-0.26,0.00
1.17,-0.00,0.90,0.30,0.46,0.58,-2.30,0.83,-0.17,-0.26,0.00
1.204,0.24,0.81,0.52,0.46,0.58,-2.30,0.83,-0.17,-0.26,0.00
1.22,0.24,0.81,0.52,0.46,0.58,-2.30,0.19,-0.25,1.36,0.00
1.221,0.24,0.81,0.52,2.24,-1.12,1.34,0.19,-0.25,1.36,0.00
1.269,0.24,0.71,0.70,2.24,-1.12,1.34,0.19,-0.25,1.36,0.00
1.286,0.24,0.71,0.70,2.24,-1.12,1.34,-1.71,0.40,1.75,0.00
1.286,0.24,0.71,0.70,1.07,-0.86,1.08,-1.71,0.40,1.75,0.00
1.335,0.09,0.75,0.63,1.07,-0.86,1.08,-1.71,0.40,1.75,0.00
1.355,0.09,0.75,0.63,1.07,-0.86,1.08,-0.49,0.25,0.55,0.00
1.357,0.09,0.75,0.63,-1.04,0.04,0.93,-0.49,0.25,0.55,0.00
1.401,0.10,0.73,0.68,-1.04,0.04,0.93,-0.49,0.25,0.55,0.00
1.418,0.10,0.73,0.68,-1.04,0.04,0.93,-0.46,0.42,-0.11,0.00
1.419,0.10,0.73,0.68,-0.17,-0.23,-0.03,-0.46,0.42,-0.11,0.00
1.467,0.06,0.77,0.62,-0.17,-0.23,-0.03,-0.46,0.42,-0.11,0.00
1.484,0.06,0.77,0.62,-0.17,-0.23,-0.03,0.07,0.13,-0.19,0.00
1.484,0.06,0.77,0.62,-0.58,0.17,-0.33,0.07,0.13,-0.19,0.00
1.533,0.09,0.73,0.58,-0.58,0.17,-0.33,0.07,0.13,-0.19,0.00
1.554,0.09,0.73,0.58,-0.58,0.17,-0.33,0.32,0.05,-0.50,0.00
1.556,0.09,0.73,0.58,0.00,-0.40,-0.57,0.32,0.05,-0.50,0.00
1.599,0.02,0.78,0.61,0.00,-0.40,-0.57,0.32,0.05,-0.50,0.00
1.616,0.02,0.78,0.61,0.00,-0.40,-0.57,0.22,0.07,-0.47,0.00
1.617,0.02,0.78,0.61,-0.68,0.25,-0.19,0.22,0.07,-0.47,0.00
1.665,-0.06,0.82,0.72,-0.68,0.25,-0.19,0.22,0.07,-0.47,0.00
1.682,-0.06,0.82,0.72,-0.68,0.25,-0.19,-0.15,0.32,-0.73,0.00
