time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.14,0.51,0.83,-0.53,0.08,0.78,-0.05,0.21,-0.56,0.00
0.012,0.14,0.51,0.83,-0.53,0.08,0.78,-0.23,0.09,0.10,0.00
0.014,0.14,0.51,0.83,0.24,-0.42,0.01,-0.23,0.09,0.10,0.00
0.067,0.09,0.53,0.91,0.24,-0.42,0.01,-0.23,0.09,0.10,0.00
0.077,0.09,0.53,0.91,0.24,-0.42,0.01,0.03,0.03,-0.04,0.00
0.079,0.09,0.53,0.91,-0.13,-0.27,0.86,0.03,0.03,-0.04,0.00
0.133,-0.05,0.61,0.80,-0.13,-0.27,0.86,0.03,0.03,-0.04,0.00
0.142,-0.05,0.61,0.80,-0.13,-0.27,0.86,-0.15,0.23,-0.58,0.00
0.144,-0.05,0.61,0.80,-1.26,0.61,-0.34,-0.15,0.23,-0.58,0.00
0.199,0.07,0.50,0.79,-1.26,0.61,-0.34,-0.15,0.23,-0.58,0.00
0.208,0.07,0.50,0.79,-1.26,0.61,-0.34,-0.09,0.16,-0.20,0.00
0.21,0.07,0.50,0.79,0.13,-0.39,-0.50,-0.09,0.16,-0.20,0.00
0.265,0.03,0.57,0.82,0.13,-0.39,-0.50,-0.09,0.16,-0.20,0.00
0.276,0.03,0.57,0.82,0.13,-0.39,-0.50,-0.00,0.17,-0.09,0.00
0.277,0.03,0.57,0.82,-0.07,0.29,-0.18,-0.00,0.17,-0.09,0.00
0.331,0.09,0.59,0.79,-0.07,0.29,-0.18,-0.00,0.17,-0.09,0.00
0.344,0.09,0.59,0.79,-0.07,0.29,-0.18,0.27,-0.02,0.23,0.00
0.346,0.09,0.59,0.79,0.37,0.32,-0.44,0.27,-0.02,0.23,0.00
0.397,0.17,0.53,0.75,0.37,0.32,-0.44,0.27,-0.02,0.23,0.00
0.406,0.17,0.53,0.75,0.37,0.32,-0.44,0.42,-0.34,0.67,0.00
0.408,0.17,0.53,0.75,0.78,-0.47,-0.58,0.42,-0.34,0.67,0.00
0.466,0.16,0.49,0.82,0.78,-0.47,-0.58,0.42,-0.34,0.67,0.00
0.474,0.16,0.49,0.82,0.78,-0.47,-0.58,-0.32,-0.28,0.97,0.00
0.475,0.16,0.49,0.82,0.20,-0.69,-0.02,-0.32,-0.28,0.97,0.00
0.529,0.15,0.42,0.85,0.20,-0.69,-0.02,-0.32,-0.28,0.97,0.00
0.542,0.15,0.42,0.85,0.20,-0.69,-0.02,-0.50,-0.13,0.36,0.00
0.543,0.15,0.42,0.85,-0.17,-1.05,0.18,-0.50,-0.13,0.36,0.00
0.595,-0.04,0.48,0.87,-0.17,-1.05,0.18,-0.50,-0.13,0.36,0.00
0.604,-0.04,0.48,0.87,-0.17,-1.05,0.18,-0.55,0.47,-1.37,0.00
0.606,-0.04,0.48,0.87,-1.45,-0.19,0.11,-0.55,0.47,-1.37,0.00
0.661,-0.21,0.57,1.08,-1.45,-0.19,0.11,-0.55,0.47,-1.37,0.00
0.672,-0.21,0.57,1.08,-1.45,-0.19,0.11,-0.33,0.59,-1.90,0.00
0.673,-0.21,0.57,1.08,-2.38,0.71,2.08,-0.33,0.59,-1.90,0.00
0.727,-0.13,0.59,1.08,-2.38,0.71,2.08,-0.33,0.59,-1.90,0.00
0.74,-0.13,0.59,1.08,-2.38,0.71,2.08,-0.03,0.34,-1.47,0.00
0.741,-0.13,0.59,1.08,-0.64,1.04,1.98,-0.03,0.34,-1.47,0.00
0.793,0.02,0.54,1.17,-0.64,1.04,1.98,-0.03,0.34,-1.47,0.00
0.802,0.02,0.54,1.17,-0.64,1.04,1.98,-0.18,-0.02,-0.29,0.00
0.803,0.02,0.54,1.17,0.94,0.65,2.91,-0.18,-0.02,-0.29,0.00
0.859,0.07,0.48,1.10,0.94,0.65,2.91,-0.18,-0.02,-0.29,0.00
0.87,0.07,0.48,1.10,0.94,0.65,2.91,-0.56,-0.38,1.25,0.00
0.871,0.07,0.48,1.10,0.85,0.34,2.01,-0.56,-0.38,1.25,0.00
0.925,-0.01,0.34,1.23,0.85,0.34,2.01,-0.56,-0.38,1.25,0.00
0.94,-0.01,0.34,1.23,0.85,0.34,2.01,-1.06,-0.03,0.41,0.00
0.941,-0.01,0.34,1.23,0.59,-0.74,2.11,-1.06,-0.03,0.41,0.00
0.991,0.10,0.37,0.87,0.59,-0.74,2.11,-1.06,-0.03,0.41,0.00
1.0,0.10,0.37,0.87,0.59,-0.74,2.11,-0.48,-0.29,1.11,0.00
1.001,0.10,0.37,0.87,0.55,0.23,-0.67,-0.48,-0.29,1.11,0.00
1.057,0.03,0.41,0.72,0.55,0.23,-0.67,-0.48,-0.29,1.11,0.00
1.067,0.03,0.41,0.72,0.55,0.23,-0.67,0.57,-0.22,-0.08,0.00
1.068,0.03,0.41,0.72,-0.25,0.38,-1.99,0.57,-0.22,-0.08,0.00
1.123,0.07,0.39,0.70,-0.25,0.38,-1.99,0.57,-0.22,-0.08,0.00
1.135,0.07,0.39,0.70,-0.25,0.38,-1.99,0.83,-0.17,-0.27,0.00
1.137,0.07,0.39,0.70,0.15,-0.35,-1.98,0.83,-0.17,-0.27,0.00
1.189,0.11,0.39,0.70,0.15,-0.35,-1.98,0.83,-0.17,-0.27,0.00
1.198,0.11,0.39,0.70,0.15,-0.35,-1.98,0.40,-0.25,0.54,0.00
1.199,0.11,0.39,0.70,0.22,-0.63,-1.82,0.40,-0.25,0.54,0.00
1.255,0.10,0.41,0.74,0.22,-0.63,-1.82,0.40,-0.25,0.54,0.00
1.265,0.10,0.41,0.74,0.22,-0.63,-1.82,0.30,-0.13,0.24,0.00
1.266,0.10,0.41,0.74,-0.04,-0.58,-1.32,0.30,-0.13,0.24,0.00
1.321,0.11,0.47,0.77,-0.04,-0.58,-1.32,0.30,-0.13,0.24,0.00
1.334,0.11,0.47,0.77,-0.04,-0.58,-1.32,0.24,-0.11,0.22,0.00
1.335,0.11,0.47,0.77,-0.17,-0.12,-0.94,0.24,-0.11,0.22,0.00
1.387,0.11,0.56,0.90,-0.17,-0.12,-0.94,0.24,-0.11,0.22,0.00
1.396,0.11,0.56,0.90,-0.17,-0.12,-0.94,0.31,-0.03,-0.06,0.00
1.397,0.11,0.56,0.90,-0.14,0.52,0.42,0.31,-0.03,-0.06,0.00
1.453,0.06,0.53,1.12,-0.14,0.52,0.42,0.31,-0.03,-0.06,0.00
1.464,0.06,0.53,1.12,-0.14,0.52,0.42,-0.18,0.22,-0.29,0.00
1.465,0.06,0.53,1.12,-0.43,0.32,2.50,-0.18,0.22,-0.29,0.00
1.519,0.12,0.44,1.20,-0.43,0.32,2.50,-0.18,0.22,-0.29,0.00
1.528,0.12,0.44,1.20,-0.43,0.32,2.50,-1.09,0.32,0.39,0.00
1.528,0.12,0.44,1.20,0.31,0.02,3.01,-1.09,0.32,0.39,0.00
1.585,0.04,0.52,0.96,0.31,0.02,3.01,-1.09,0.32,0.39,0.00
1.594,0.04,0.52,0.96,0.31,0.02,3.01,-0.02,0.11,-0.37,0.00
1.595,0.04,0.52,0.96,-0.42,0.90,0.67,-0.02,0.11,-0.37,0.00
1.651,-0.04,0.42,1.09,-0.42,0.90,0.67,-0.02,0.11,-0.37,0.00
1.662,-0.04,0.42,1.09,-0.42,0.90,0.67,-0.01,0.18,-0.89,0.00
1.662,-0.04,0.42,1.09,-0.88,-0.07,1.83,-0.01,0.18,-0.89,0.00
1.717,-0.23,0.37,0.95,-0.88,-0.07,1.83,-0.01,0.18,-0.89,0.00
1.726,-0.23,0.37,0.95,-0.88,-0.07,1.83,-0.72,0.56,-2.18,0.00
1.726,-0.23,0.37,0.95,-1.88,-0.12,0.25,-0.72,0.56,-2.18,0.00
1.783,-0.15,0.38,0.69,-1.88,-0.12,0.25,-0.72,0.56,-2.18,0.00
1.792,-0.15,0.38,0.69,-1.88,-0.12,0.25,0.76,0.34,-2.16,0.00
1.793,-0.15,0.38,0.69,-0.37,-0.25,-2.15,0.76,0.34,-2.16,0.00
1.849,-0.10,0.41,0.74,-0.37,-0.25,-2.15,0.76,0.34,-2.16,0.00
1.859,-0.10,0.41,0.74,-0.37,-0.25,-2.15,0.44,0.02,-0.21,0.00
1.861,-0.10,0.41,0.74,0.26,-0.26,-1.46,0.44,0.02,-0.21,0.00
1.915,0.02,0.34,0.89,0.26,-0.26,-1.46,0.44,0.02,-0.21,0.00
1.924,0.02,0.34,0.89,0.26,-0.26,-1.46,-0.36,-0.18,1.08,0.00
1.926,0.02,0.34,0.89,1.18,-0.95,-0.11,-0.36,-0.18,1.08,0.00
1.981,-0.02,0.40,0.83,1.18,-0.95,-0.11,-0.36,-0.18,1.08,0.00
1.99,-0.02,0.40,0.83,1.18,-0.95,-0.11,-0.27,-0.19,1.23,0.00
1.992,-0.02,0.40,0.83,0.25,-0.17,-0.77,-0.27,-0.19,1.23,0.00
2.047,-0.06,0.45,0.74,0.25,-0.17,-0.77,-0.27,-0.19,1.23,0.00
2.058,-0.06,0.45,0.74,0.25,-0.17,-0.77,0.54,0.00,-0.02,0.00
2.06,-0.06,0.45,0.74,-0.04,0.23,-1.09,0.54,0.00,-0.02,0.00
2.113,0.09,0.45,1.19,-0.04,0.23,-1.09,0.54,0.00,-0.02,0.00
2.122,0.09,0.45,1.19,-0.04,0.23,-1.09,-0.23,-0.14,0.96,0.00
2.123,0.09,0.45,1.19,1.07,0.10,2.84,-0.23,-0.14,0.96,0.00
2.179,0.10,0.53,0.97,1.07,0.10,2.84,-0.23,-0.14,0.96,0.00
2.188,0.10,0.53,0.97,1.07,0.10,2.84,-0.04,-0.26,1.23,0.00
2.189,0.10,0.53,0.97,0.56,1.11,0.61,-0.04,-0.26,1.23,0.00
2.245,0.06,0.42,1.31,0.56,1.11,0.61,-0.04,-0.26,1.23,0.00
2.255,0.06,0.42,1.31,0.56,1.11,0.61,-0.61,0.03,0.53,0.00
2.256,0.06,0.42,1.31,0.77,-0.58,3.85,-0.61,0.03,0.53,0.00
2.311,0.22,0.34,0.84,0.77,-0.58,3.85,-0.61,0.03,0.53,0.00
2.32,0.22,0.34,0.84,0.77,-0.58,3.85,-0.39,-0.38,1.51,0.00
2.321,0.22,0.34,0.84,1.12,-0.19,-0.84,-0.39,-0.38,1.51,0.00
2.377,0.09,0.42,0.90,1.12,-0.19,-0.84,-0.39,-0.38,1.51,0.00
2.386,0.09,0.42,0.90,1.12,-0.19,-0.84,0.18,-0.26,0.19,0.00
2.387,0.09,0.42,0.90,-0.58,0.61,-0.22,0.18,-0.26,0.19,0.00
2.444,-0.02,0.44,0.74,-0.58,0.61,-0.22,0.18,-0.26,0.19,0.00
2.455,-0.02,0.44,0.74,-0.58,0.61,-0.22,0.69,0.14,-1.76,0.00
