time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.008,0.08,-0.05,0.96,-0.23,-0.09,0.77,0.03,0.09,-0.12,0.00
0.011,0.08,-0.05,0.96,-0.23,-0.09,0.77,-0.01,-0.01,-0.01,0.00
0.012,0.08,-0.05,0.96,0.13,0.07,-0.40,-0.01,-0.01,-0.01,0.00
0.052,0.10,-0.04,1.02,0.13,0.07,-0.40,-0.01,-0.01,-0.01,0.00
0.053,0.10,-0.04,1.02,0.13,0.07,-0.40,0.05,-0.19,0.02,0.00
0.054,0.10,-0.04,1.02,0.11,0.10,0.25,0.05,-0.19,0.02,0.00
0.101,0.06,-0.04,1.02,0.11,0.10,0.25,0.05,-0.19,0.02,0.00
0.122,0.06,-0.04,1.02,0.11,0.10,0.25,0.05,0.05,-0.10,0.00
0.123,0.06,-0.04,1.02,-0.18,0.02,0.25,0.05,0.05,-0.10,0.00
0.179,0.06,-0.04,0.98,-0.18,0.02,0.25,0.05,0.05,-0.10,0.00
0.181,0.06,-0.04,0.98,-0.18,0.02,0.25,0.03,0.14,-0.10,0.00
0.181,0.06,-0.04,0.98,-0.12,0.04,-0.15,0.03,0.14,-0.10,0.00
0.246,0.09,-0.04,1.00,-0.12,0.04,-0.15,0.03,0.14,-0.10,0.00
0.247,0.09,-0.04,1.00,-0.12,0.04,-0.15,0.05,-0.07,-0.03,0.00
0.247,0.09,-0.04,1.00,0.23,0.03,0.02,0.05,-0.07,-0.03,0.00
0.312,0.07,-0.05,1.06,0.23,0.03,0.02,0.05,-0.07,-0.03,0.00
0.313,0.07,-0.05,1.06,0.23,0.03,0.02,-0.04,-0.01,0.06,0.00
0.314,0.07,-0.05,1.06,-0.05,-0.17,0.69,-0.04,-0.01,0.06,0.00
0.362,0.07,-0.05,0.99,-0.05,-0.17,0.69,-0.04,-0.01,0.06,0.00
0.372,0.07,-0.05,0.99,-0.05,-0.17,0.69,-0.06,0.19,-0.01,0.00
0.372,0.07,-0.05,0.99,0.11,-0.10,-0.09,-0.06,0.19,-0.01,0.00
0.427,0.10,-0.04,1.00,0.11,-0.10,-0.09,-0.06,0.19,-0.01,0.00
0.439,0.10,-0.04,1.00,0.11,-0.10,-0.09,0.02,-0.16,0.05,0.00
0.44,0.10,-0.04,1.00,0.30,0.05,-0.01,0.02,-0.16,0.05,0.00
0.493,0.06,-0.05,1.02,0.30,0.05,-0.01,0.02,-0.16,0.05,0.00
0.504,0.06,-0.05,1.02,0.30,0.05,-0.01,-0.00,0.00,-0.02,0.00
0.504,0.06,-0.05,1.02,-0.21,-0.07,0.08,-0.00,0.00,-0.02,0.00
0.56,0.07,-0.05,1.01,-0.21,-0.07,0.08,-0.00,0.00,-0.02,0.00
0.57,0.07,-0.05,1.01,-0.21,-0.07,0.08,-0.04,0.03,0.05,0.00
0.571,0.07,-0.05,1.01,0.13,-0.09,-0.05,-0.04,0.03,0.05,0.00
0.625,0.07,-0.04,1.02,0.13,-0.09,-0.05,-0.04,0.03,0.05,0.00
0.637,0.07,-0.04,1.02,0.13,-0.09,-0.05,0.00,0.00,0.03,0.00
0.638,0.07,-0.04,1.02,0.03,0.04,0.19,0.00,0.00,0.03,0.00
0.692,0.08,-0.04,1.02,0.03,0.04,0.19,0.00,0.00,0.03,0.00
0.702,0.08,-0.04,1.02,0.03,0.04,0.19,0.04,-0.02,-0.02,0.00
0.703,0.08,-0.04,1.02,0.08,0.04,0.24,0.04,-0.02,-0.02,0.00
0.758,0.09,-0.05,1.02,0.08,0.04,0.24,0.04,-0.02,-0.02,0.00
0.768,0.09,-0.05,1.02,0.08,0.04,0.24,0.01,-0.03,0.01,0.00
0.768,0.09,-0.05,1.02,0.22,-0.06,-0.09,0.01,-0.03,0.01,0.00
0.823,0.08,-0.05,1.02,0.22,-0.06,-0.09,0.01,-0.03,0.01,0.00
0.835,0.08,-0.05,1.02,0.22,-0.06,-0.09,-0.01,-0.03,0.05,0.00
0.836,0.08,-0.05,1.02,0.07,-0.04,0.24,-0.01,-0.03,0.05,0.00
0.889,0.09,-0.05,0.99,0.07,-0.04,0.24,-0.01,-0.03,0.05,0.00
0.9,0.09,-0.05,0.99,0.07,-0.04,0.24,-0.01,-0.06,0.06,0.00
0.901,0.09,-0.05,0.99,0.15,-0.05,-0.03,-0.01,-0.06,0.06,0.00
0.957,0.06,-0.05,0.99,0.15,-0.05,-0.03,-0.01,-0.06,0.06,0.00
0.966,0.06,-0.05,0.99,0.15,-0.05,-0.03,-0.04,0.05,0.09,0.00
0.966,0.06,-0.05,0.99,0.01,-0.10,-0.02,-0.04,0.05,0.09,0.00
1.021,0.07,-0.05,0.98,0.01,-0.10,-0.02,-0.04,0.05,0.09,0.00
1.034,0.07,-0.05,0.98,0.01,-0.10,-0.02,-0.05,-0.03,0.12,0.00
1.035,0.07,-0.05,0.98,-0.09,-0.01,-0.20,-0.05,-0.03,0.12,0.00
1.087,0.05,-0.05,1.03,-0.09,-0.01,-0.20,-0.05,-0.03,0.12,0.00
1.098,0.05,-0.05,1.03,-0.09,-0.01,-0.20,-0.03,0.13,-0.04,0.00
1.098,0.05,-0.05,1.03,-0.22,0.01,0.29,-0.03,0.13,-0.04,0.00
1.164,0.08,-0.03,0.99,-0.22,0.01,0.29,-0.03,0.13,-0.04,0.00
1.165,0.08,-0.03,0.99,-0.22,0.01,0.29,0.12,0.00,-0.19,0.00
1.166,0.08,-0.03,0.99,0.22,0.22,0.02,0.12,0.00,-0.19,0.00
1.219,0.09,-0.03,1.05,0.22,0.22,0.02,0.12,0.00,-0.19,0.00
1.231,0.09,-0.03,1.05,0.22,0.22,0.02,0.15,-0.08,-0.21,0.00
1.232,0.09,-0.03,1.05,0.01,0.09,0.35,0.15,-0.08,-0.21,0.00
1.285,0.09,-0.03,1.02,0.01,0.09,0.35,0.15,-0.08,-0.21,0.00
1.296,0.09,-0.03,1.02,0.01,0.09,0.35,0.05,-0.05,-0.09,0.00
1.296,0.09,-0.03,1.02,0.18,-0.01,0.19,0.05,-0.05,-0.09,0.00
1.361,0.09,-0.03,1.01,0.18,-0.01,0.19,0.05,-0.05,-0.09,0.00
1.362,0.09,-0.03,1.01,0.18,-0.01,0.19,0.01,-0.09,0.02,0.00
1.363,0.09,-0.03,1.01,0.05,-0.00,0.14,0.01,-0.09,0.02,0.00
1.417,0.10,-0.05,1.02,0.05,-0.00,0.14,0.01,-0.09,0.02,0.00
1.429,0.10,-0.05,1.02,0.05,-0.00,0.14,-0.07,-0.10,0.13,0.00
1.43,0.10,-0.05,1.02,0.13,-0.14,0.29,-0.07,-0.10,0.13,0.00
1.483,0.10,-0.07,0.97,0.13,-0.14,0.29,-0.07,-0.10,0.13,0.00
1.494,0.10,-0.07,0.97,0.13,-0.14,0.29,-0.13,-0.07,0.21,0.00
1.494,0.10,-0.07,0.97,0.03,-0.17,-0.22,-0.13,-0.07,0.21,0.00
1.56,0.06,-0.07,0.98,0.03,-0.17,-0.22,-0.13,-0.07,0.21,0.00
1.562,0.06,-0.07,0.98,0.03,-0.17,-0.22,-0.14,0.07,0.20,0.00
1.562,0.06,-0.07,0.98,-0.27,-0.08,-0.10,-0.14,0.07,0.20,0.00
1.615,0.09,-0.06,1.01,-0.27,-0.08,-0.10,-0.14,0.07,0.20,0.00
1.627,0.09,-0.06,1.01,-0.27,-0.08,-0.10,-0.02,0.03,0.03,0.00
1.628,0.09,-0.06,1.01,0.02,0.00,0.12,-0.02,0.03,0.03,0.00
1.681,0.08,-0.05,0.99,0.02,0.00,0.12,-0.02,0.03,0.03,0.00
1.692,0.08,-0.05,0.99,0.02,0.00,0.12,0.05,0.04,-0.10,0.00
1.692,0.08,-0.05,0.99,-0.04,0.09,-0.05,0.05,0.04,-0.10,0.00
1.758,0.07,-0.05,1.01,-0.04,0.09,-0.05,0.05,0.04,-0.10,0.00
1.759,0.07,-0.05,1.01,-0.04,0.09,-0.05,0.05,0.11,-0.15,0.00
1.76,0.07,-0.05,1.01,-0.05,0.04,0.18,0.05,0.11,-0.15,0.00
1.813,0.09,-0.04,1.00,-0.05,0.04,0.18,0.05,0.11,-0.15,0.00
1.825,0.09,-0.04,1.00,-0.05,0.04,0.18,0.06,-0.04,-0.07,0.00
1.826,0.09,-0.04,1.00,0.08,0.04,0.06,0.06,-0.04,-0.07,0.00
1.889,0.10,-0.04,1.02,0.08,0.04,0.06,0.06,-0.04,-0.07,0.00
1.891,0.10,-0.04,1.02,0.08,0.04,0.06,0.05,-0.06,-0.05,0.00
1.891,0.10,-0.04,1.02,0.15,0.06,0.24,0.05,-0.06,-0.05,0.00
1.957,0.08,-0.03,1.02,0.15,0.06,0.24,0.05,-0.06,-0.05,0.00
1.959,0.08,-0.03,1.02,0.15,0.06,0.24,0.03,-0.01,-0.07,0.00
1.96,0.08,-0.03,1.02,-0.04,0.07,0.20,0.03,-0.01,-0.07,0.00
2.012,0.12,-0.03,1.00,-0.04,0.07,0.20,0.03,-0.01,-0.07,0.00
2.024,0.12,-0.03,1.00,-0.04,0.07,0.20,0.04,-0.14,-0.02,0.00
2.025,0.12,-0.03,1.00,0.22,0.07,0.07,0.04,-0.14,-0.02,0.00
2.081,0.10,-0.05,1.01,0.22,0.07,0.07,0.04,-0.14,-0.02,0.00
2.088,0.10,-0.05,1.01,0.22,0.07,0.07,-0.01,-0.09,0.04,0.00
2.089,0.10,-0.05,1.01,-0.01,-0.08,0.19,-0.01,-0.09,0.04,0.00
2.155,0.09,-0.06,1.01,-0.01,-0.08,0.19,-0.01,-0.09,0.04,0.00
2.157,0.09,-0.06,1.01,-0.01,-0.08,0.19,-0.13,0.07,0.15,0.00
2.158,0.09,-0.06,1.01,0.05,-0.17,0.14,-0.13,0.07,0.15,0.00
2.209,0.12,-0.05,0.97,0.05,-0.17,0.14,-0.13,0.07,0.15,0.00
2.221,0.12,-0.05,0.97,0.05,-0.17,0.14,-0.08,-0.09,0.17,0.00
2.222,0.12,-0.05,0.97,0.16,0.01,-0.22,-0.08,-0.09,0.17,0.00
2.275,0.10,-0.04,1.00,0.16,0.01,-0.22,-0.08,-0.09,0.17,0.00
2.286,0.10,-0.04,1.00,0.16,0.01,-0.22,0.05,-0.04,-0.08,0.00
2.286,0.10,-0.04,1.00,-0.03,0.11,0.11,0.05,-0.04,-0.08,0.00
2.341,0.10,-0.03,1.00,-0.03,0.11,0.11,0.05,-0.04,-0.08,0.00
2.352,0.10,-0.03,1.00,-0.03,0.11,0.11,0.10,0.05,-0.19,0.00
2.352,0.10,-0.03,1.00,-0.02,0.10,0.10,0.10,0.05,-0.19,0.00
2.407,0.09,-0.04,0.99,-0.02,0.10,0.10,0.10,0.05,-0.19,0.00
2.419,0.09,-0.04,0.99,-0.02,0.10,0.10,0.05,0.07,-0.12,0.00
2.42,0.09,-0.04,0.99,-0.08,-0.02,-0.04,0.05,0.07,-0.12,0.00
2.474,0.09,-0.05,1.03,-0.08,-0.02,-0.04,0.05,0.07,-0.12,0.00
2.484,0.09,-0.05,1.03,-0.08,-0.02,-0.04,-0.04,0.06,-0.02,0.00
2.484,0.09,-0.05,1.03,-0.04,-0.09,0.30,-0.04,0.06,-0.02,0.00
2.539,0.08,-0.05,1.01,-0.04,-0.09,0.30,-0.04,0.06,-0.02,0.00
