
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.2060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0232,0.0050,-0.0111,0.00000000,0.00000000,0.00000000,
0.2080,0.0000,0.0000,0.0000,-0.1723,0.6316,-3.0022,-0.0232,0.0050,-0.0111,25.25517667,83.00559833,7.76973200,
0.2730,0.0000,0.0000,0.0000,-0.1723,0.6316,-3.0022,-0.1490,0.0212,-0.0566,25.25517667,83.00559833,7.76973200,
0.2740,0.0000,0.0000,0.0000,-0.5984,-0.6017,3.8666,-0.1490,0.0212,-0.0566,25.25517667,83.00559833,7.76973200,
0.3410,0.0000,0.0000,0.0000,-0.5984,-0.6017,3.8666,0.4771,-0.0283,-0.1480,25.25517667,83.00559833,7.76973200,
0.3420,0.0000,0.0000,0.0000,-0.5411,0.7485,-4.2896,0.4771,-0.0283,-0.1480,25.25517667,83.00559833,7.76973200,
0.4040,0.0000,0.0000,0.0000,-0.5411,0.7485,-4.2896,-0.7950,0.0780,0.0819,25.25517667,83.00559833,7.76973200,
0.4060,0.0000,0.0000,0.0000,-0.0408,-1.1420,1.3369,-0.7950,0.0780,0.0819,25.25517667,83.00559833,7.76973200,
0.4110,-0.0069,0.5954,0.8396,-0.0408,-1.1420,1.3369,-0.7950,0.0780,0.0819,25.25517667,83.00559833,7.76973200,
0.4700,-0.0069,0.5954,0.8396,-0.0408,-1.1420,1.3369,1.0442,-0.1282,0.7362,25.25517667,83.00559833,7.76973200,
0.4720,-0.0069,0.5954,0.8396,0.5819,-0.3004,-0.6383,1.0442,-0.1282,0.7362,25.25517667,83.00559833,7.76973200,
0.4770,0.0640,0.5963,0.8586,0.5819,-0.3004,-0.6383,1.0442,-0.1282,0.7362,25.25517667,83.00559833,7.76973200,
0.5380,0.0640,0.5963,0.8586,0.5819,-0.3004,-0.6383,-1.1060,0.0141,1.5955,25.25517667,83.00559833,7.76973200,
0.5400,0.0640,0.5963,0.8586,1.2384,-1.3561,-0.3326,-1.1060,0.0141,1.5955,25.25517667,83.00559833,7.76973200,
0.5430,0.1791,0.6264,0.6364,1.2384,-1.3561,-0.3326,-1.1060,0.0141,1.5955,25.25517667,83.00559833,7.76973200,
