
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3421,-0.0852,0.2482,0.00000000,0.00000000,0.00000000,
0.0760,0.0000,0.0000,0.0000,0.2947,-0.3607,-1.8073,0.3421,-0.0852,0.2482,25.25706333,83.00788833,0.00000000,
0.1150,0.0000,0.0000,0.0000,0.2947,-0.3607,-1.8073,0.0020,-0.0008,0.0043,25.25706333,83.00788833,0.00000000,
0.1170,0.0000,0.0000,0.0000,0.3970,-0.0332,-0.5372,0.0020,-0.0008,0.0043,25.25706333,83.00788833,0.00000000,
0.1830,0.0000,0.0000,0.0000,0.3970,-0.0332,-0.5372,-0.0112,-0.0053,0.0194,25.25706333,83.00788833,0.00000000,
0.1840,0.0000,0.0000,0.0000,0.3737,-0.3103,0.3694,-0.0112,-0.0053,0.0194,25.25706333,83.00788833,0.00000000,
0.2470,0.0000,0.0000,0.0000,0.3737,-0.3103,0.3694,-0.0006,-0.0026,0.0100,25.25706333,83.00788833,0.00000000,
0.2490,0.0000,0.0000,0.0000,-0.2881,0.0028,-0.5656,-0.0006,-0.0026,0.0100,25.25706333,83.00788833,0.00000000,
0.3130,0.0000,0.0000,0.0000,-0.2881,0.0028,-0.5656,0.0302,0.0330,-0.1084,25.25706333,83.00788833,0.00000000,
0.3150,0.0000,0.0000,0.0000,-0.3641,0.0022,-0.0881,0.0302,0.0330,-0.1084,25.25706333,83.00788833,0.00000000,
0.3820,0.0000,0.0000,0.0000,-0.3641,0.0022,-0.0881,-0.1631,-0.0215,0.0155,25.25706333,83.00788833,0.00000000,
0.3840,0.0000,0.0000,0.0000,0.1601,-0.1129,0.5520,-0.1631,-0.0215,0.0155,25.25706333,83.00788833,0.00000000,
0.4140,-0.0830,0.3302,0.9606,0.1601,-0.1129,0.5520,-0.1631,-0.0215,0.0155,25.25706333,83.00788833,0.00000000,
0.4450,-0.0830,0.3302,0.9606,0.1601,-0.1129,0.5520,0.1544,-0.0668,0.2044,25.25706333,83.00788833,0.00000000,
0.4470,-0.0830,0.3302,0.9606,0.0051,0.6650,-0.7242,0.1544,-0.0668,0.2044,25.25706333,83.00788833,0.00000000,
0.4800,-0.1250,0.3052,1.1157,0.0051,0.6650,-0.7242,0.1544,-0.0668,0.2044,25.25706333,83.00788833,0.00000000,
0.5130,-0.1250,0.3052,1.1157,0.0051,0.6650,-0.7242,-0.3196,-0.0020,-0.0302,25.25706333,83.00788833,0.00000000,
0.5200,-0.1250,0.3052,1.1157,-0.0208,-1.1445,2.8714,-0.3196,-0.0020,-0.0302,25.25706333,83.00788833,0.00000000,
0.5480,-0.0130,0.1870,1.0847,-0.0208,-1.1445,2.8714,-0.3196,-0.0020,-0.0302,25.25706333,83.00788833,0.00000000,
0.5790,-0.0130,0.1870,1.0847,-0.0208,-1.1445,2.8714,-1.1082,-0.2822,1.0725,25.25706333,83.00788833,0.00000000,
