time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.297,0.11,0.48,0.88,0.05,0.04,0.19,0.04,0.00,0.01,0.00
1.298,0.11,0.48,0.88,0.03,0.11,-0.08,0.04,0.00,0.01,0.00
1.336,0.11,0.48,0.88,0.03,0.11,-0.08,0.01,0.05,-0.01,0.00
1.337,0.11,0.48,0.88,0.04,0.10,0.09,0.01,0.05,-0.01,0.00
1.376,0.10,0.46,0.86,0.04,0.10,0.09,0.01,0.05,-0.01,0.00
1.377,0.10,0.46,0.86,0.04,0.10,0.09,0.02,0.09,0.01,0.00
1.377,0.10,0.46,0.86,-0.09,-0.06,-0.14,0.02,0.09,0.01,0.00
1.416,0.10,0.46,0.86,0.01,-0.04,-0.00,0.02,0.09,0.01,0.00
1.455,0.10,0.46,0.86,0.10,-0.01,0.03,0.02,0.09,0.01,0.00
1.456,0.10,0.46,0.88,0.10,-0.01,0.03,0.02,0.09,0.01,0.00
1.456,0.10,0.46,0.88,0.10,-0.01,0.03,-0.06,0.16,0.04,0.00
1.495,0.07,0.46,0.87,0.10,-0.01,0.03,-0.06,0.16,0.04,0.00
1.495,0.07,0.46,0.87,0.05,0.00,0.04,-0.06,0.16,0.04,0.00
1.534,0.07,0.46,0.87,0.05,0.00,0.04,-0.07,0.19,-0.01,0.00
1.535,0.07,0.46,0.87,-0.06,0.05,-0.08,-0.07,0.19,-0.01,0.00
1.574,0.07,0.46,0.87,-0.13,0.02,-0.07,-0.07,0.19,-0.01,0.00
1.574,0.06,0.46,0.89,-0.13,0.02,-0.07,-0.07,0.19,-0.01,0.00
1.574,0.06,0.46,0.89,-0.13,0.02,-0.07,-0.11,0.19,0.00,0.00
1.613,0.06,0.46,0.89,-0.02,0.05,0.26,-0.11,0.19,0.00,0.00
1.653,0.06,0.46,0.89,-0.02,0.05,0.26,-0.03,0.10,0.03,0.00
1.654,0.06,0.46,0.88,-0.02,0.05,0.26,-0.03,0.10,0.03,0.00
1.654,0.06,0.46,0.88,-0.03,0.08,0.09,-0.03,0.10,0.03,0.00
1.693,0.06,0.46,0.88,0.05,0.10,-0.18,-0.03,0.10,0.03,0.00
1.732,0.06,0.45,0.87,0.05,0.10,-0.18,-0.03,0.10,0.03,0.00
1.732,0.06,0.45,0.87,0.05,0.10,-0.18,-0.08,0.11,0.04,0.00
1.733,0.06,0.45,0.87,-0.00,0.03,-0.09,-0.08,0.11,0.04,0.00
1.772,0.06,0.45,0.87,-0.00,0.03,-0.09,-0.14,0.08,0.00,0.00
1.772,0.04,0.45,0.91,-0.00,0.03,-0.09,-0.14,0.08,0.00,0.00
1.772,0.04,0.45,0.91,0.07,-0.01,-0.12,-0.14,0.08,0.00,0.00
1.811,0.04,0.45,0.91,-0.20,0.05,0.29,-0.14,0.08,0.00,0.00
1.851,0.04,0.45,0.91,-0.20,0.05,0.29,-0.04,0.01,0.01,0.00
1.852,0.04,0.45,0.91,-0.16,-0.15,-0.12,-0.04,0.01,0.01,0.00
1.852,0.05,0.43,0.88,-0.16,-0.15,-0.12,-0.04,0.01,0.01,0.00
1.891,0.05,0.43,0.88,0.25,-0.04,-0.10,-0.04,0.01,0.01,0.00
1.93,0.04,0.45,0.89,0.25,-0.04,-0.10,-0.04,0.01,0.01,0.00
1.931,0.04,0.45,0.89,-0.10,0.10,0.03,-0.04,0.01,0.01,0.00
1.931,0.04,0.45,0.89,-0.10,0.10,0.03,-0.05,0.04,-0.02,0.00
1.97,0.06,0.44,0.89,-0.10,0.10,0.03,-0.05,0.04,-0.02,0.00
1.97,0.06,0.44,0.89,0.21,0.01,0.29,-0.05,0.04,-0.02,0.00
2.012,0.06,0.44,0.89,0.21,0.01,0.29,-0.02,0.00,-0.03,0.00
2.012,0.06,0.44,0.89,0.04,0.04,-0.09,-0.02,0.00,-0.03,0.00
2.049,0.06,0.44,0.89,0.04,0.04,-0.09,-0.03,0.03,-0.02,0.00
2.05,0.07,0.44,0.89,0.04,0.04,-0.09,-0.03,0.03,-0.02,0.00
2.05,0.07,0.44,0.89,0.10,0.02,0.02,-0.03,0.03,-0.02,0.00
2.088,0.07,0.44,0.89,0.23,0.02,-0.04,-0.03,0.03,-0.02,0.00
