time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.198,-0.07,0.36,0.92,0.04,-0.10,-0.06,0.04,-0.02,-0.01,0.00
1.237,-0.07,0.36,0.92,0.04,-0.10,-0.06,-0.03,-0.05,-0.01,0.00
1.237,-0.06,0.37,0.91,0.04,-0.10,-0.06,-0.03,-0.05,-0.01,0.00
1.238,-0.06,0.37,0.91,-0.01,0.02,-0.15,-0.03,-0.05,-0.01,0.00
1.277,-0.06,0.37,0.91,0.15,0.00,0.01,-0.03,-0.05,-0.01,0.00
1.316,-0.06,0.37,0.91,0.15,0.00,0.01,-0.02,-0.03,0.00,0.00
1.317,-0.04,0.37,0.93,0.15,0.00,0.01,-0.02,-0.03,0.00,0.00
1.317,-0.04,0.37,0.93,0.22,-0.01,0.06,-0.02,-0.03,0.00,0.00
1.356,-0.04,0.37,0.93,0.03,-0.07,0.11,-0.02,-0.03,0.00,0.00
1.356,-0.04,0.36,0.91,0.03,-0.07,0.11,-0.02,-0.03,0.00,0.00
1.395,-0.04,0.36,0.91,0.03,-0.07,0.11,-0.01,-0.03,-0.03,0.00
1.396,-0.04,0.36,0.91,0.21,-0.06,-0.20,-0.01,-0.03,-0.03,0.00
1.435,-0.04,0.36,0.91,0.19,0.02,0.16,-0.01,-0.03,-0.03,0.00
1.435,-0.04,0.36,0.91,0.19,0.02,0.16,-0.01,-0.03,-0.04,0.00
1.436,-0.04,0.37,0.93,0.19,0.02,0.16,-0.01,-0.03,-0.04,0.00
1.474,-0.04,0.37,0.93,0.02,0.00,0.00,-0.01,-0.03,-0.04,0.00
1.514,-0.04,0.37,0.93,0.02,0.00,0.00,0.01,0.01,-0.04,0.00
1.515,-0.05,0.37,0.91,0.02,0.00,0.00,0.01,0.01,-0.04,0.00
1.515,-0.05,0.37,0.91,0.04,-0.02,-0.07,0.01,0.01,-0.04,0.00
1.553,-0.05,0.37,0.91,0.05,0.04,-0.10,0.01,0.01,-0.04,0.00
1.554,-0.04,0.37,0.95,0.05,0.04,-0.10,0.01,0.01,-0.04,0.00
1.593,-0.04,0.37,0.95,0.05,0.04,-0.10,-0.01,-0.02,-0.04,0.00
1.593,-0.04,0.37,0.95,0.08,-0.01,0.27,-0.01,-0.02,-0.04,0.00
1.633,-0.04,0.37,0.95,0.05,-0.00,0.01,-0.01,-0.02,-0.04,0.00
1.634,-0.05,0.37,0.92,0.05,-0.00,0.01,-0.01,-0.02,-0.04,0.00
1.634,-0.05,0.37,0.92,0.05,-0.00,0.01,0.03,-0.01,-0.05,0.00
1.672,-0.05,0.37,0.92,-0.04,0.02,-0.14,0.03,-0.01,-0.05,0.00
1.712,-0.05,0.37,0.92,-0.04,0.02,-0.14,0.03,-0.01,-0.05,0.00
1.712,-0.05,0.37,0.92,-0.04,0.02,-0.14,0.02,-0.02,-0.04,0.00
1.713,-0.05,0.37,0.92,-0.01,0.02,-0.00,0.02,-0.02,-0.04,0.00
1.752,-0.05,0.36,0.92,-0.01,0.02,-0.00,0.02,-0.02,-0.04,0.00
1.753,-0.05,0.36,0.92,-0.04,-0.03,0.07,0.02,-0.02,-0.04,0.00
1.791,-0.05,0.36,0.92,-0.04,-0.03,0.07,0.01,-0.01,-0.02,0.00
1.792,-0.05,0.36,0.92,-0.00,-0.04,-0.05,0.01,-0.01,-0.02,0.00
1.831,-0.05,0.36,0.92,-0.00,-0.04,-0.05,0.01,0.01,-0.00,0.00
1.832,-0.04,0.36,0.92,-0.00,-0.04,-0.05,0.01,0.01,-0.00,0.00
