
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0325,0.0066,0.0064,0.00000000,0.00000000,0.00000000,
0.0970,0.0000,0.0000,0.0000,0.3661,-2.1763,3.5092,-0.0325,0.0066,0.0064,25.25407000,83.00918333,8.97675514,
0.1610,0.0000,0.0000,0.0000,0.3661,-2.1763,3.5092,-0.0289,0.0088,0.0111,25.25407000,83.00918333,8.97675514,
0.1620,0.0000,0.0000,0.0000,-0.0798,-0.4597,-1.8832,-0.0289,0.0088,0.0111,25.25407000,83.00918333,8.97675514,
0.2290,0.0000,0.0000,0.0000,-0.0798,-0.4597,-1.8832,-0.1136,0.0222,-0.0877,25.25407000,83.00918333,8.97675514,
0.2300,0.0000,0.0000,0.0000,-1.8601,0.1698,2.4268,-0.1136,0.0222,-0.0877,25.25407000,83.00918333,8.97675514,
0.2930,0.0000,0.0000,0.0000,-1.8601,0.1698,2.4268,-0.0172,-0.0155,-0.2151,25.25407000,83.00918333,8.97675514,
0.2940,0.0000,0.0000,0.0000,-0.2161,-0.2481,0.4232,-0.0172,-0.0155,-0.2151,25.25407000,83.00918333,8.97675514,
0.3590,0.0000,0.0000,0.0000,-0.2161,-0.2481,0.4232,-0.4442,0.0425,0.3651,25.25407000,83.00918333,8.97675514,
0.3610,0.0000,0.0000,0.0000,0.9228,0.0404,-0.2078,-0.4442,0.0425,0.3651,25.25407000,83.00918333,8.97675514,
0.4110,-0.0870,0.5934,0.7645,0.9228,0.0404,-0.2078,-0.4442,0.0425,0.3651,25.25407000,83.00918333,8.97675514,
0.4260,-0.0870,0.5934,0.7645,0.9228,0.0404,-0.2078,0.1553,-0.0928,-0.2584,25.25407000,83.00918333,8.97675514,
0.4280,-0.0870,0.5934,0.7645,-0.0041,-0.6563,-1.8930,0.1553,-0.0928,-0.2584,25.25407000,83.00918333,8.97675514,
0.4770,-0.0310,0.4663,0.7004,-0.0041,-0.6563,-1.8930,0.1553,-0.0928,-0.2584,25.25407000,83.00918333,8.97675514,
0.4910,-0.0310,0.4663,0.7004,-0.0041,-0.6563,-1.8930,0.6061,-0.1004,0.2155,25.25407000,83.00918333,8.97675514,
0.4930,-0.0310,0.4663,0.7004,0.2260,-1.7109,-0.6484,0.6061,-0.1004,0.2155,25.25407000,83.00918333,8.97675514,
0.5430,0.0780,0.5444,0.7285,0.2260,-1.7109,-0.6484,0.6061,-0.1004,0.2155,25.25407000,83.00918333,8.97675514,
0.5570,0.0780,0.5444,0.7285,0.2260,-1.7109,-0.6484,-1.1961,0.2835,1.5262,25.25407000,83.00918333,8.97675514,
0.5590,0.0780,0.5444,0.7285,0.9825,-0.2925,-0.8887,-1.1961,0.2835,1.5262,25.25407000,83.00918333,8.97675514,
0.6090,-0.0981,0.7595,0.5053,0.9825,-0.2925,-0.8887,-1.1961,0.2835,1.5262,25.25407000,83.00918333,8.97675514,
0.6350,-0.0981,0.7595,0.5053,0.9825,-0.2925,-0.8887,1.8552,-0.4648,-1.0063,25.25407000,83.00918333,8.97675514,
0.6370,-0.0981,0.7595,0.5053,-0.7961,0.5976,0.2667,1.8552,-0.4648,-1.0063,25.25407000,83.00918333,8.97675514,
0.6850,0.0069,0.7195,0.8386,-0.7961,0.5976,0.2667,1.8552,-0.4648,-1.0063,25.25407000,83.00918333,8.97675514,
0.6930,0.0069,0.7195,0.8386,-0.7961,0.5976,0.2667,0.2504,-0.0807,-0.0367,25.25407000,83.00918333,8.97675514,
0.6950,0.0069,0.7195,0.8386,0.3226,0.6548,-0.0140,0.2504,-0.0807,-0.0367,25.25407000,83.00918333,8.97675514,
0.7410,0.0740,0.6414,0.9747,0.3226,0.6548,-0.0140,0.2504,-0.0807,-0.0367,25.25407000,83.00918333,8.97675514,
0.7550,0.0740,0.6414,0.9747,0.3226,0.6548,-0.0140,-0.8347,0.0933,0.4535,25.25400333,83.00924667,9.45287323,
0.7570,0.0740,0.6414,0.9747,0.9210,0.0078,2.0220,-0.8347,0.0933,0.4535,25.25400333,83.00924667,9.45287323,
0.8070,0.2301,0.6123,0.6054,0.9210,0.0078,2.0220,-0.8347,0.0933,0.4535,25.25400333,83.00924667,9.45287323,
0.8230,0.2301,0.6123,0.6054,0.9210,0.0078,2.0220,0.2921,-0.0596,2.3260,25.25400333,83.00924667,9.45287323,
0.8240,0.2301,0.6123,0.6054,0.5445,-0.3159,0.1059,0.2921,-0.0596,2.3260,25.25400333,83.00924667,9.45287323,
0.8730,0.0190,0.5744,1.0247,0.5445,-0.3159,0.1059,0.2921,-0.0596,2.3260,25.25400333,83.00924667,9.45287323,
0.8870,0.0190,0.5744,1.0247,0.5445,-0.3159,0.1059,-0.9821,0.3940,0.3788,25.25400333,83.00924667,9.45287323,
0.8890,0.0190,0.5744,1.0247,-0.7738,-0.3151,1.7833,-0.9821,0.3940,0.3788,25.25400333,83.00924667,9.45287323,
0.9390,-0.0030,0.7014,0.7255,-0.7738,-0.3151,1.7833,-0.9821,0.3940,0.3788,25.25400333,83.00924667,9.45287323,
