
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0828,0.2066,-0.4339,0.00000000,0.00000000,0.00000000,
0.0950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0008,-0.0015,25.25700667,83.00805167,0.00000000,
0.0970,0.0000,0.0000,0.0000,-0.1952,0.2647,0.3209,0.0006,0.0008,-0.0015,25.25700667,83.00805167,0.00000000,
0.1610,0.0000,0.0000,0.0000,-0.1952,0.2647,0.3209,0.0086,-0.0008,-0.0094,25.25700667,83.00805167,0.00000000,
0.1630,0.0000,0.0000,0.0000,0.1829,0.2754,0.0998,0.0086,-0.0008,-0.0094,25.25700667,83.00805167,0.00000000,
0.2320,0.0000,0.0000,0.0000,0.1829,0.2754,0.0998,0.0230,-0.0119,-0.0127,25.25700667,83.00805167,0.00000000,
0.2340,0.0000,0.0000,0.0000,0.1355,0.3194,-0.5918,0.0230,-0.0119,-0.0127,25.25700667,83.00805167,0.00000000,
0.2930,0.0000,0.0000,0.0000,0.1355,0.3194,-0.5918,0.0432,-0.0303,-0.0142,25.25700667,83.00805167,0.00000000,
0.2950,0.0000,0.0000,0.0000,0.0925,0.1005,-0.0845,0.0432,-0.0303,-0.0142,25.25700667,83.00805167,0.00000000,
0.3590,0.0000,0.0000,0.0000,0.0925,0.1005,-0.0845,0.0184,0.0068,-0.0426,25.25700667,83.00805167,0.00000000,
0.3610,0.0000,0.0000,0.0000,-0.4453,-0.0137,0.5929,0.0184,0.0068,-0.0426,25.25700667,83.00805167,0.00000000,
0.4100,-0.0140,0.3442,0.9036,-0.4453,-0.0137,0.5929,0.0184,0.0068,-0.0426,25.25700667,83.00805167,0.00000000,
0.4260,-0.0140,0.3442,0.9036,-0.4453,-0.0137,0.5929,0.1474,-0.0539,-0.0985,25.25700667,83.00805167,0.00000000,
0.4290,-0.0140,0.3442,0.9036,0.3128,0.1929,-0.4652,0.1474,-0.0539,-0.0985,25.25700667,83.00805167,0.00000000,
0.4760,0.0200,0.3402,0.8946,0.3128,0.1929,-0.4652,0.1474,-0.0539,-0.0985,25.25700667,83.00805167,0.00000000,
0.4910,0.0200,0.3402,0.8946,0.3128,0.1929,-0.4652,0.2249,-0.3030,0.0363,25.25700667,83.00805167,0.00000000,
0.4930,0.0200,0.3402,0.8946,0.3274,0.0025,-0.4545,0.2249,-0.3030,0.0363,25.25700667,83.00805167,0.00000000,
0.5420,0.0330,0.3162,0.9527,0.3274,0.0025,-0.4545,0.2249,-0.3030,0.0363,25.25700667,83.00805167,0.00000000,
0.5570,0.0330,0.3162,0.9527,0.3274,0.0025,-0.4545,-0.1169,-0.1758,0.3023,25.25700667,83.00805167,0.00000000,
0.5590,0.0330,0.3162,0.9527,0.3248,-0.1954,0.0995,-0.1169,-0.1758,0.3023,25.25700667,83.00805167,0.00000000,
