time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.033,-0.16,0.35,0.91,-0.47,-0.72,-0.48,-0.18,-0.04,0.35,0.00
0.033,-0.16,0.35,0.91,-0.47,-0.72,-0.48,0.11,-0.08,0.46,0.00
0.034,-0.19,0.33,0.86,-0.47,-0.72,-0.48,0.11,-0.08,0.46,0.00
0.073,-0.19,0.33,0.86,-0.46,0.15,-0.24,0.11,-0.08,0.46,0.00
0.113,-0.19,0.33,0.86,-0.46,0.15,-0.24,-0.07,-0.10,0.54,0.00
0.113,-0.17,0.35,1.01,-0.46,0.15,-0.24,-0.07,-0.10,0.54,0.00
0.113,-0.17,0.35,1.01,-0.38,-0.17,1.15,-0.07,-0.10,0.54,0.00
0.151,-0.21,0.33,0.88,-0.38,-0.17,1.15,-0.07,-0.10,0.54,0.00
0.152,-0.21,0.33,0.88,-0.73,-0.48,0.04,-0.07,-0.10,0.54,0.00
0.191,-0.21,0.33,0.88,-0.73,-0.48,0.04,0.02,0.21,0.56,0.00
0.192,-0.21,0.33,0.88,-0.75,-0.36,-0.32,0.02,0.21,0.56,0.00
0.231,-0.21,0.33,0.88,-0.75,-0.36,-0.32,-0.02,0.19,0.70,0.00
0.231,-0.14,0.34,0.94,-0.75,-0.36,-0.32,-0.02,0.19,0.70,0.00
0.231,-0.14,0.34,0.94,-0.23,-0.34,0.26,-0.02,0.19,0.70,0.00
0.27,-0.14,0.34,0.94,0.02,-0.32,0.45,-0.02,0.19,0.70,0.00
0.31,-0.14,0.34,0.94,0.02,-0.32,0.45,0.08,0.26,0.70,0.00
0.31,-0.11,0.37,0.90,0.02,-0.32,0.45,0.08,0.26,0.70,0.00
0.31,-0.11,0.37,0.90,0.12,-0.13,0.05,0.08,0.26,0.70,0.00
0.349,-0.05,0.38,0.91,0.12,-0.13,0.05,0.08,0.26,0.70,0.00
0.35,-0.05,0.38,0.91,0.15,-0.26,0.04,0.08,0.26,0.70,0.00
0.389,-0.05,0.38,0.91,0.82,-0.01,0.21,0.08,0.26,0.70,0.00
0.389,-0.05,0.38,0.91,0.82,-0.01,0.21,-0.02,0.33,0.68,0.00
0.429,-0.05,0.38,0.91,0.82,-0.01,0.21,-0.11,0.27,0.59,0.00
0.43,-0.04,0.37,0.92,0.82,-0.01,0.21,-0.11,0.27,0.59,0.00
0.43,-0.04,0.37,0.92,0.73,-0.06,0.04,-0.11,0.27,0.59,0.00
0.468,-0.04,0.37,0.92,0.93,-0.22,0.45,-0.11,0.27,0.59,0.00
0.507,-0.04,0.37,0.92,0.93,-0.22,0.45,-0.16,0.25,0.58,0.00
0.509,-0.04,0.37,0.92,0.74,-0.28,0.19,-0.16,0.25,0.58,0.00
0.509,-0.03,0.36,0.92,0.74,-0.28,0.19,-0.16,0.25,0.58,0.00
0.547,-0.03,0.36,0.92,1.02,-0.06,-0.08,-0.16,0.25,0.58,0.00
0.548,0.04,0.39,0.95,1.02,-0.06,-0.08,-0.16,0.25,0.58,0.00
