time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.788,-0.19,0.52,0.74,-0.04,-0.24,-0.21,0.04,-0.04,0.01,0.00
0.789,-0.19,0.52,0.74,-0.40,-0.02,-1.10,0.04,-0.04,0.01,0.00
0.829,-0.19,0.52,0.74,0.46,0.33,0.08,0.04,-0.04,0.01,0.00
0.829,-0.11,0.54,0.87,0.46,0.33,0.08,0.04,-0.04,0.01,0.00
0.829,-0.11,0.54,0.87,0.46,0.33,0.08,-0.22,-0.32,0.05,0.00
0.868,-0.11,0.54,0.87,0.15,0.05,0.51,-0.22,-0.32,0.05,0.00
0.907,-0.11,0.54,0.87,0.15,0.05,0.51,-0.09,-0.15,-0.04,0.00
0.908,-0.14,0.51,0.90,0.15,0.05,0.51,-0.09,-0.15,-0.04,0.00
0.908,-0.14,0.51,0.90,-0.03,-0.07,0.62,-0.09,-0.15,-0.04,0.00
0.947,-0.13,0.51,0.83,-0.03,-0.07,0.62,-0.09,-0.15,-0.04,0.00
0.947,-0.13,0.51,0.83,-0.13,0.04,-0.31,-0.09,-0.15,-0.04,0.00
0.987,-0.13,0.51,0.83,-0.13,0.04,-0.31,-0.03,0.00,0.01,0.00
0.987,-0.13,0.51,0.83,0.02,-0.08,-0.13,-0.03,0.00,0.01,0.00
1.026,-0.13,0.51,0.86,0.02,-0.08,-0.13,-0.03,0.00,0.01,0.00
1.026,-0.13,0.51,0.86,0.02,-0.08,-0.13,-0.04,-0.11,0.03,0.00
1.027,-0.13,0.51,0.86,-0.14,-0.04,-0.50,-0.04,-0.11,0.03,0.00
1.065,-0.13,0.51,0.86,0.12,0.07,0.75,-0.04,-0.11,0.03,0.00
1.107,-0.13,0.51,0.86,0.12,0.07,0.75,-0.02,-0.03,-0.01,0.00
1.107,-0.13,0.50,0.83,0.12,0.07,0.75,-0.02,-0.03,-0.01,0.00
1.107,-0.13,0.50,0.83,0.04,-0.11,-0.16,-0.02,-0.03,-0.01,0.00
1.144,-0.13,0.50,0.83,-0.24,0.01,-0.21,-0.02,-0.03,-0.01,0.00
1.145,-0.12,0.50,0.83,-0.24,0.01,-0.21,-0.02,-0.03,-0.01,0.00
1.184,-0.12,0.50,0.83,-0.24,0.01,-0.21,-0.05,-0.07,-0.00,0.00
1.184,-0.12,0.50,0.83,0.08,-0.09,-0.15,-0.05,-0.07,-0.00,0.00
1.224,-0.12,0.50,0.83,0.08,-0.09,-0.15,-0.06,-0.05,-0.02,0.00
1.224,-0.11,0.51,0.85,0.08,-0.09,-0.15,-0.06,-0.05,-0.02,0.00
1.225,-0.11,0.51,0.85,0.21,0.11,-0.05,-0.06,-0.05,-0.02,0.00
1.263,-0.11,0.51,0.85,-0.09,-0.04,0.09,-0.06,-0.05,-0.02,0.00
1.303,-0.11,0.51,0.85,-0.09,-0.04,0.09,-0.01,-0.05,-0.01,0.00
1.304,-0.13,0.50,0.86,-0.09,-0.04,0.09,-0.01,-0.05,-0.01,0.00
1.304,-0.13,0.50,0.86,-0.08,-0.03,0.20,-0.01,-0.05,-0.01,0.00
1.343,-0.10,0.51,0.89,-0.08,-0.03,0.20,-0.01,-0.05,-0.01,0.00
1.344,-0.10,0.51,0.89,-0.16,-0.01,-0.30,-0.01,-0.05,-0.01,0.00
1.383,-0.10,0.51,0.89,-0.16,-0.01,-0.30,-0.03,-0.02,0.01,0.00
1.384,-0.10,0.51,0.89,0.16,0.06,0.34,-0.03,-0.02,0.01,0.00
1.423,-0.10,0.51,0.89,0.16,0.06,0.34,-0.02,0.02,-0.00,0.00
1.424,-0.12,0.50,0.85,0.16,0.06,0.34,-0.02,0.02,-0.00,0.00
1.424,-0.12,0.50,0.85,-0.14,-0.05,-0.17,-0.02,0.02,-0.00,0.00
1.462,-0.12,0.50,0.85,0.02,0.04,0.10,-0.02,0.02,-0.00,0.00
1.501,-0.12,0.50,0.85,0.02,0.04,0.10,-0.00,-0.00,0.02,0.00
1.501,-0.12,0.50,0.84,0.02,0.04,0.10,-0.00,-0.00,0.02,0.00
1.502,-0.12,0.50,0.84,-0.14,-0.06,-0.30,-0.00,-0.00,0.02,0.00
1.54,-0.15,0.49,0.85,-0.14,-0.06,-0.30,-0.00,-0.00,0.02,0.00
1.541,-0.15,0.49,0.85,0.26,0.18,0.17,-0.00,-0.00,0.02,0.00
1.58,-0.15,0.49,0.85,0.26,0.18,0.17,-0.04,0.01,-0.01,0.00
1.581,-0.15,0.49,0.85,-0.27,-0.12,-0.01,-0.04,0.01,-0.01,0.00
1.619,-0.11,0.50,0.85,-0.27,-0.12,-0.01,-0.04,0.01,-0.01,0.00
1.62,-0.11,0.50,0.85,-0.27,-0.12,-0.01,-0.01,-0.02,0.02,0.00
1.621,-0.11,0.50,0.85,-0.05,-0.03,-0.16,-0.01,-0.02,0.02,0.00
1.659,-0.11,0.50,0.85,0.09,0.03,0.04,-0.01,-0.02,0.02,0.00
1.701,-0.11,0.50,0.85,0.09,0.03,0.04,-0.01,0.01,0.00,0.00
1.702,-0.12,0.49,0.85,0.09,0.03,0.04,-0.01,0.01,0.00,0.00
1.702,-0.12,0.49,0.85,-0.03,-0.06,-0.02,-0.01,0.01,0.00,0.00
1.738,-0.12,0.49,0.85,0.06,-0.03,0.03,-0.01,0.01,0.00,0.00
1.778,-0.12,0.49,0.85,0.06,-0.03,0.03,-0.01,0.01,0.02,0.00
1.779,-0.13,0.49,0.85,0.06,-0.03,0.03,-0.01,0.01,0.02,0.00
1.779,-0.13,0.49,0.85,-0.09,-0.06,-0.05,-0.01,0.01,0.02,0.00
1.819,-0.13,0.49,0.85,-0.09,-0.06,-0.05,-0.02,-0.00,0.01,0.00
1.82,-0.11,0.50,0.86,-0.09,-0.06,-0.05,-0.02,-0.00,0.01,0.00
1.82,-0.11,0.50,0.86,0.12,0.04,-0.05,-0.02,-0.00,0.01,0.00
1.857,-0.11,0.50,0.86,0.11,0.06,0.11,-0.02,-0.00,0.01,0.00
1.896,-0.11,0.50,0.86,0.11,0.06,0.11,-0.03,-0.01,-0.01,0.00
1.897,-0.12,0.50,0.86,0.11,0.06,0.11,-0.03,-0.01,-0.01,0.00
1.897,-0.12,0.50,0.86,-0.04,0.00,-0.10,-0.03,-0.01,-0.01,0.00
1.936,-0.12,0.50,0.86,0.05,0.01,0.12,-0.03,-0.01,-0.01,0.00
1.975,-0.12,0.50,0.86,0.05,0.01,0.12,-0.03,-0.03,0.02,0.00
1.976,-0.12,0.50,0.86,-0.16,-0.13,-0.14,-0.03,-0.03,0.02,0.00
1.977,-0.13,0.48,0.84,-0.16,-0.13,-0.14,-0.03,-0.03,0.02,0.00
2.014,-0.11,0.49,0.84,-0.16,-0.13,-0.14,-0.03,-0.03,0.02,0.00
2.015,-0.11,0.49,0.84,0.21,0.07,0.04,-0.03,-0.03,0.02,0.00
2.054,-0.11,0.49,0.84,0.21,0.07,0.04,-0.00,-0.00,0.00,0.00
