time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.12,0.50,0.83,0.69,1.54,-0.85,1.20,0.04,-0.14,0.00
0.005,-0.12,0.50,0.83,-0.83,0.28,0.33,1.20,0.04,-0.14,0.00
0.028,0.08,0.40,1.24,-0.83,0.28,0.33,1.20,0.04,-0.14,0.00
0.06,0.08,0.40,1.24,-0.83,0.28,0.33,-2.03,-0.62,6.67,0.00
0.062,0.08,0.40,1.24,8.63,-3.51,3.46,-2.03,-0.62,6.67,0.00
0.091,0.04,-0.18,0.62,8.63,-3.51,3.46,-2.03,-0.62,6.67,0.00
0.124,0.04,-0.18,0.62,8.63,-3.51,3.46,-0.59,-0.79,5.30,0.00
0.125,0.04,-0.18,0.62,-10.45,4.63,6.15,-0.59,-0.79,5.30,0.00
0.158,-0.39,0.19,1.47,-10.45,4.63,6.15,-0.59,-0.79,5.30,0.00
0.189,-0.39,0.19,1.47,-10.45,4.63,6.15,-0.26,-0.79,2.02,0.00
0.19,-0.39,0.19,1.47,-3.62,1.80,2.78,-0.26,-0.79,2.02,0.00
0.221,-0.42,0.08,1.31,-3.62,1.80,2.78,-0.26,-0.79,2.02,0.00
0.267,-0.42,0.08,1.31,-3.62,1.80,2.78,-0.62,0.17,-1.99,0.00
0.269,-0.42,0.08,1.31,-0.94,-2.04,1.62,-0.62,0.17,-1.99,0.00
0.289,-0.23,0.06,0.94,-0.94,-2.04,1.62,-0.62,0.17,-1.99,0.00
0.323,-0.23,0.06,0.94,-0.94,-2.04,1.62,-1.05,-0.54,0.16,0.00
0.324,-0.23,0.06,0.94,2.22,-0.13,0.45,-1.05,-0.54,0.16,0.00
0.36,-0.12,0.11,0.94,2.22,-0.13,0.45,-1.05,-0.54,0.16,0.00
0.387,-0.12,0.11,0.94,2.22,-0.13,0.45,-0.62,-0.69,1.67,0.00
0.388,-0.12,0.11,0.94,0.98,-0.10,-2.90,-0.62,-0.69,1.67,0.00
0.419,-0.11,0.08,0.61,0.98,-0.10,-2.90,-0.62,-0.69,1.67,0.00
